trial,t_cmd,t_move,latency_s,init_at_cmd,cmd_angle,last_measured
1,220123.942812541,220123.993149291,0.05033674999140203,1000,700,986
2,220124.126520833,220124.1705745,0.044053666992112994,995,700,985
3,220124.3018405,220124.370165,0.06832449999637902,991,700,946
4,220124.527222125,220124.597639166,0.07041704098810442,990,700,947
5,220124.743826666,220124.812807166,0.06898049998562783,993,700,949
6,220124.962745166,220125.031466625,0.0687214589852374,994,700,947
7,220125.182071416,220125.251124583,0.06905316701158881,993,700,949
8,220125.405745458,220125.469990041,0.06424458298715763,992,700,950
9,220125.626843916,220125.689259833,0.062415916996542364,994,700,947
10,220125.846464166,220125.910199041,0.06373487500241026,991,700,950
